Best hyperparameters: {'node1': 21, 'node2': 7, 'LR': 9.05945733700551e-05, 'DROPOUT': 0.22914679037383173, 'batch_size': 64, 'weight_decay': 0.0004974777308695285, 'EARLY_STOP': 82}
Best trial value: 6.866953492164612

All trials:
Trial 88: {'node1': 11, 'node2': 9, 'LR': 5.978681948921573e-05, 'DROPOUT': 0.19585394930763866, 'batch_size': 62, 'weight_decay': 5.745414735232803e-05, 'EARLY_STOP': 33}, Value: 8.913448333740234
Trial 89: {'node1': 17, 'node2': 4, 'LR': 6.77323050404684e-05, 'DROPOUT': 0.1766023023102938, 'batch_size': 63, 'weight_decay': 0.00011644778275629016, 'EARLY_STOP': 92}, Value: 9.306167840957642
Trial 90: {'node1': 31, 'node2': 9, 'LR': 8.632448051642486e-06, 'DROPOUT': 0.23836279565013777, 'batch_size': 57, 'weight_decay': 6.750242108594831e-05, 'EARLY_STOP': 60}, Value: 9.031410217285156
Trial 91: {'node1': 19, 'node2': 9, 'LR': 5.1193464675605505e-05, 'DROPOUT': 0.2361286387793248, 'batch_size': 64, 'weight_decay': 7.748543415606995e-05, 'EARLY_STOP': 78}, Value: 7.27789831161499
Trial 92: {'node1': 18, 'node2': 9, 'LR': 5.5362416565763013e-05, 'DROPOUT': 0.21317437491774713, 'batch_size': 64, 'weight_decay': 8.233514140497771e-05, 'EARLY_STOP': 73}, Value: 7.2383164167404175
Trial 93: {'node1': 21, 'node2': 10, 'LR': 4.1351836727475776e-05, 'DROPOUT': 0.24597271081089692, 'batch_size': 61, 'weight_decay': 8.98713485201551e-05, 'EARLY_STOP': 78}, Value: 9.380445837974548
Trial 94: {'node1': 19, 'node2': 8, 'LR': 7.886183924401235e-05, 'DROPOUT': 0.2538971513747546, 'batch_size': 63, 'weight_decay': 0.00010661334652042136, 'EARLY_STOP': 85}, Value: 9.411739349365234
Trial 95: {'node1': 22, 'node2': 9, 'LR': 5.750629248587538e-05, 'DROPOUT': 0.1411011648489421, 'batch_size': 60, 'weight_decay': 0.00013661466060507392, 'EARLY_STOP': 98}, Value: 8.910372614860535
Trial 96: {'node1': 23, 'node2': 10, 'LR': 9.171020317882994e-05, 'DROPOUT': 0.22307422619433487, 'batch_size': 27, 'weight_decay': 7.141326850123283e-05, 'EARLY_STOP': 91}, Value: 9.247876316308975
Trial 97: {'node1': 16, 'node2': 8, 'LR': 2.980230770444217e-05, 'DROPOUT': 0.2330579704071695, 'batch_size': 62, 'weight_decay': 0.0005455290562880268, 'EARLY_STOP': 71}, Value: 8.985005140304565
Trial 98: {'node1': 20, 'node2': 9, 'LR': 3.721594579049907e-05, 'DROPOUT': 0.27281745883207936, 'batch_size': 63, 'weight_decay': 0.000435456220524538, 'EARLY_STOP': 82}, Value: 9.237616896629333
Trial 99: {'node1': 18, 'node2': 10, 'LR': 4.417699426361507e-05, 'DROPOUT': 0.1988158810255528, 'batch_size': 64, 'weight_decay': 0.0007580551356002347, 'EARLY_STOP': 111}, Value: 7.17890852689743
